id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
872511113084066730,The Nook,350380348,Megan,,Ramsey,44.94855,-93.15091,Entire home/apt,103,2,64,2025-03-30,2.45,1,241,24,
872539474009623453,Top Floor Private Studio Fully Furnished Unit!,343383049,Danny,,Ramsey,44.96804,-93.10571,Entire home/apt,58,6,13,2025-04-12,0.54,1,306,6,20240000468
873070062883927011,Cozy Isle Cabin,92980742,Ben,,Mille Lacs,46.13978,-93.46539,Entire home/apt,139,2,7,2024-08-11,0.29,1,176,3,
873146093285909501,Fun in the city,482931655,Jacqueline,,Hennepin,44.9538817,-93.35717,Entire home/apt,94,30,44,2024-12-03,1.75,1,0,18,
873303227375326704,Cozy studio w private entrance & workspace,63122274,John,,Hennepin,44.95938,-93.27314,Entire home/apt,74,2,113,2025-06-06,4.29,4,291,54,STR-132405
873368428132826054,Walk to Downtown Hudson & Riverfront: Cozy Cottage,51706884,Sherri,,St. Croix,44.97971,-92.75716,Entire home/apt,178,2,64,2025-05-27,2.47,2,226,21,
873841544519306449,Serene St Paul Home,510952449,Moises,,Dakota,44.8675,-93.02732,Entire home/apt,249,2,62,2025-06-16,2.53,1,298,34,
873886847129602923,The Standish Sensation!,159366503,Eric,,Hennepin,44.93635370000001,-93.2318157,Entire home/apt,250,70,2,2024-09-06,0.09,11,81,1,
874062184805158816,"Lake Harriet
Modern Retreat",108988039,Jaime,,Hennepin,44.93111,-93.29144,Entire home/apt,297,3,31,2025-06-03,1.27,1,302,17,Str-396712
874537432431266063,Welcoming Lakefront Mound Apartment w/ Fire Pit!,456378235,Evolve,,Hennepin,44.93099,-93.66974,Entire home/apt,95,2,6,2025-06-01,0.23,85,337,2,
874598760661177543,MINNeSTAY* Sable 307 | North Loop,24051954,Minnestay,,Hennepin,44.98701,-93.27797,Entire home/apt,179,2,2,2024-04-07,0.10,101,292,0,STR-408064
875223435767167901,Home away from Home,511212111,Mauro,,Hennepin,45.022284,-93.21710449999999,Private room,77,2,10,2024-08-25,0.41,2,154,3,
875236947273886086,MPLS Tangletown Tudor by Airport & DWTN,10721589,Nicole,,Hennepin,44.90473,-93.27226,Entire home/apt,230,2,31,2025-06-20,1.24,1,293,14,STR-406540
876285770695245240,Cape Cod in the City,71350572,Elizabeth,,Hennepin,44.93150197031793,-93.23023194539282,Entire home/apt,107,2,42,2025-05-26,1.64,1,149,20,LIC-407105
876697768265494804,Beautiful Townhome,159901703,Chinemerem,,Hennepin,44.95890300000001,-93.25092869999999,Private room,38,1,13,2025-06-07,0.55,1,328,7,Exempt
876856102434883909,NE Minneapolis Brick Beauty - Unit 3,165845720,,,Hennepin,45.00374243323788,-93.25792583465764,Entire home/apt,104,2,91,2025-06-01,3.48,2,204,35,STR-407721
876950100512741026,Beautiful modern studio - Twin Cities Love,509161941,Darron,,Ramsey,44.950406,-93.16655,Entire home/apt,92,1,213,2025-06-06,8.53,2,346,100,
877514496779886090,Colorful Midwest House,73342000,Jerrett,,Hennepin,44.90095825926741,-93.29384371615775,Entire home/apt,197,1,59,2025-05-25,2.31,2,344,23,STR-450470
877539406658084094,"Urban Chic: 3-Bed, 1-Bath Gem Near Downtown",421265307,Sayaan,,Hennepin,44.99105,-93.2321,Entire home/apt,170,30,7,2025-05-31,0.29,9,294,2,
877799357198148646,Lakeview Retreat on Crystal Lake | Pet-Friendly,511797621,Leema,,Dakota,44.72769,-93.27487,Entire home/apt,283,2,25,2024-09-03,1.08,1,310,8,
877857120147030307,Home Away From Home in St. Paul,259092046,Nolan,,Ramsey,44.96784,-93.08427,Entire home/apt,,1,24,2024-07-01,1.14,2,0,2,
878041388074986466,Portland Hooze by the month,97025076,Victor,,Hennepin,44.94462764265535,-93.26788168470914,Entire home/apt,140,30,0,,,2,293,0,
878141607747350629,"Lakefront, wildlife Cabin retreat",398931079,Austin And Elizabeth,,Chisago,45.38413,-92.82876,Entire home/apt,179,2,93,2025-06-10,3.57,4,84,41,
878185481189357802,Inviting Minneapolis Vacation Rental w/ Game Room!,456378235,Evolve,,Hennepin,44.88126,-93.26697,Entire home/apt,189,2,47,2025-06-08,1.90,85,332,19,
878235757145651965,One Level Living near Champlin,499134522,Jared,,Hennepin,45.14663,-93.36244,Entire home/apt,101,1,25,2025-06-15,0.96,1,290,11,
878363034732956350,Spacious Private 1 Bedroom Full Unit,373136117,Duaa,,Ramsey,44.9823589,-93.03961799999999,Entire home/apt,91,15,6,2025-03-26,0.24,3,258,1,
880351991681366559,Twin City Gateway & Quiet Escape,4129087,Lisa,,Ramsey,45.04173,-93.06538,Entire home/apt,121,1,75,2025-06-01,2.91,8,185,46,
880481155580120975,Long Lake Sunset Cottage,512358449,Katherine,,Isanti,45.48337,-93.33816,Entire home/apt,272,2,22,2025-06-15,0.88,1,221,5,
880491820490241774,Tranquil 2BR Apt Mpls - 8073 Apt 1,97860353,George,,Anoka,45.11548,-93.23928,Entire home/apt,157,2,35,2024-11-24,1.60,9,344,13,
880513636539200038,Tranquil 2BR Apt Mpls - 8075 Apt 3,97860353,George,,Anoka,45.11342,-93.24059,Entire home/apt,144,2,9,2025-04-06,0.35,9,342,4,
880637597465702399,Hot Tub | MSP Airport| Mall| Minneapolis| St Paul,512390587,,,Hennepin,44.89087,-93.27424,Entire home/apt,255,1,112,2025-05-26,4.42,2,338,47,
880991693815756627,Bunker Hills Campground Bunkhouse Camper,299377676,Josh,,Anoka,45.21226,-93.27708,Entire home/apt,201,3,0,,,1,178,0,
881381807653322993,Vibes & Style at The Dollhouse! Arts District Gem,24597942,Ryan,,Hennepin,45.001096464621746,-93.26133875767214,Entire home/apt,169,1,88,2025-06-08,3.80,1,344,37,STR-407881
881730674782189547,Entire Mille Lacs Lake Home *best fishing dock!*,512609656,Marty Ann,,Mille Lacs,46.21733,-93.53072,Entire home/apt,281,4,15,2025-05-30,0.63,1,236,9,
881879179110162378,3 Bedroom Pet Friendly Stay,499181568,Stacy,,Washington,45.05386,-92.81583,Entire home/apt,99,30,4,2025-06-20,0.17,2,198,2,
882022462266010779,The Boat House,512695694,Coleman,,Washington,45.2672341,-92.9118618,Entire home/apt,546,2,15,2024-09-08,0.64,2,146,7,
882653291648939049,Mpls Marvel: Spacious Retreat,21057583,Alisa,,Anoka,45.08352,-93.26554,Entire home/apt,186,1,132,2025-06-17,5.34,1,285,57,
882682697064984491,Centrally Located Modern Home,415262897,Ganga,,Hennepin,44.8765,-93.39585,Entire home/apt,131,30,3,2024-06-30,0.14,12,171,1,
883118524438764816,Charming 1927 Craftsman Cottage,85129031,Julie,,Ramsey,45.0725868,-93.2088685,Entire home/apt,177,2,24,2025-05-27,0.94,1,264,12,
883128142623316543,Downtown  C’est La Belle Vie!  /near stadium-Conv,57655643,Christopher John,,Hennepin,44.971381388166726,-93.26483912765978,Entire home/apt,91,2,107,2025-06-06,4.15,20,132,47,STR-120999
883991375477874210,Spring River Views with NEW sauna and king bed,109253019,Andrea,,Chisago,45.40649,-92.65092,Entire home/apt,255,2,46,2025-05-25,1.82,1,154,15,
884067602606379078,Riverside Getaway | Downtown Apartment above Cafe,458262438,Luke,,Carver,44.7622691,-93.6243164,Entire home/apt,198,1,119,2025-06-14,4.67,7,81,62,
884768045185537025,"Family Friendly Saint Paul 
Home",267653545,Kylie,,Washington,44.93572,-92.92198,Entire home/apt,,3,16,2024-08-26,0.65,1,0,4,
884856100353907024,Lake Cottage-Screened/4 bd/3ba/boat/dogs/firepit,14547208,Tracy,,Carver,44.87,-93.81003,Entire home/apt,892,1,61,2025-06-10,2.56,3,313,27,
884878147470180961,The Warm Hug House | Walkable and Oh-So-Cozy!,19437760,Alexandra,,Hennepin,44.95664,-93.29093,Entire home/apt,158,2,57,2025-06-15,2.81,1,274,47,STR-410218
885002380640988360,Center to Airport | Mall of America  | Up/Downtown,83715973,Joe,,Hennepin,44.86961,-93.2692,Entire home/apt,211,2,79,2025-05-18,3.11,1,61,37,
885672916045520442,Sandy Shores Lake MTKA: Mound Mn,512836926,Dede Marie,,Hennepin,44.93156,-93.66325,Entire home/apt,400,30,2,2025-01-06,0.08,1,295,1,
885831156014351139,2BR/1Bath-K&Q Beds-ReverseOsmosisWater-PetsWelcome,133476553,Leaf,,Hennepin,44.94675,-93.24875,Entire home/apt,,30,2,2025-05-31,0.11,1,47,1,
886059619798610755,Spacious 2 Bedroom/1 bath Upper Duplex,229487703,Emily,,Hennepin,44.92359,-93.39314,Entire home/apt,82,2,42,2025-05-25,2.40,2,320,24,
886388486689536739,Dan’s Lodge at The Eagles Roost Trout Farm,132075931,Sere,,St. Croix,45.02463,-92.60071,Entire home/apt,217,1,53,2025-06-16,2.49,2,200,35,
886396446306823239,Cozy cottage in downtown Wayzata - walk to lake!,139990751,Olivia,,Hennepin,44.96786,-93.50308,Entire home/apt,271,3,32,2025-06-06,1.44,1,286,14,
886860963485417497,Blue Elephant,11741566,Alyssa,,Ramsey,44.95695,-93.05738,Entire home/apt,117,6,17,2025-06-01,0.71,1,217,10,20210000514
886930509395536371,"House near Airport, Mall of America & Lake Nokonis",512611653,Gedion,,Hennepin,44.89413,-93.25542,Entire home/apt,80,1,71,2025-06-09,3.24,2,305,40,LIC-410777
886930903471879569,"Cold Plunge + Sauna
 in South West Minneapolis",346821484,Megan,,Hennepin,44.899366353046574,-93.25673377036999,Entire home/apt,158,2,71,2025-05-27,3.28,1,250,28,STR-409157
886971218559530985,MINNeSTAY* Creekside Lodge | Nature,24051954,Minnestay,,Hennepin,44.89698,-93.51688,Entire home/apt,410,2,24,2025-05-25,0.94,101,321,10,
887012973532300865,"The Hazel | Free parking, Gym, Fast WIFI, Central",513807153,Hayden,,Hennepin,44.95785,-93.26113,Entire home/apt,114,1,37,2025-06-18,4.20,3,153,37,STR-418765
887137031151407502,"Modern 1BR Lightrail, Parks, MSP",15058892,Dan,,Hennepin,44.91874,-93.21424,Entire home/apt,65,30,7,2025-02-11,0.31,6,253,5,
887161071201111462,SW Minneapolis- Lake Harriet Monthly Rental NEW!,36576860,Patrick Jon,,Hennepin,44.91248,-93.31022,Entire home/apt,191,30,9,2025-05-11,0.45,1,202,5,
887847460482208001,Spring Street,513999215,Krista,,St. Croix,45.12488,-92.67846,Entire home/apt,254,2,21,2025-06-07,0.94,1,312,9,
888310331225016555,German lake Family Adventures,495426965,Kyle,,Le Sueur,44.26925,-93.71418,Entire home/apt,260,3,23,2025-06-02,1.76,2,304,22,
888328059665038190,"Lux building! Pool, rooftop!",5283270,Lisa,,Hennepin,44.87842,-93.32356,Entire home/apt,,6,13,2025-06-08,0.53,23,1,7,
888356296944250058,"Warm apartment, comfortable room",129163228,,,Ramsey,44.95903,-93.16592,Entire home/apt,67,15,20,2025-06-08,0.78,10,354,7,
888408032324363027,Modern touches- corner balcony!,5283270,Lisa,,Hennepin,44.89449,-93.40679,Entire home/apt,,7,1,2023-12-31,0.06,23,0,0,
888607712680394859,MINNeSTAY* Riverfront Inn | Hot tub,24051954,Minnestay,,Pierce,44.6008,-92.56047,Entire home/apt,545,2,19,2025-06-01,0.77,101,321,8,
888658450738647912,Magical Lake Home 9 mins to MOA and MSP Airport,1575131,Steve,,Dakota,44.8706153,-93.1065919,Entire home/apt,2286,2,52,2025-04-27,2.12,4,313,23,
889014853817812757,Wild Mountain Retreat,418287162,,,Chisago,45.46085,-92.67838,Entire home/apt,428,2,64,2025-06-01,2.54,1,182,28,
889796905987069360,"Urban Retreat near Airport, MOA, Lake Nokomis",9650216,Aaron,,Hennepin,44.90388,-93.23356,Entire home/apt,194,4,50,2025-05-27,2.02,2,220,21,LIC-403586
889943299948360159,Sunny Saint Thomas Side-by-Side!,82392155,Marabelle,,Ramsey,44.9462,-93.18633,Entire home/apt,107,4,47,2024-08-21,1.94,16,37,8,
891545762236044396,Spacious Private 1 Bedroom Full Unit for Long-Term,373136117,Duaa,,Ramsey,44.98136,-93.03982,Entire home/apt,77,15,3,2025-05-12,0.12,3,202,1,
891927414276497629,"Cozy, convenient 2br S. Mpls",2984502,Laura,,Hennepin,44.920403364823926,-93.22017065772783,Entire home/apt,131,1,45,2025-06-10,1.84,1,58,24,LIC-407847
891944447589522619,Spacious Minneapolis Vacation Rental w/ Game Room!,456378235,Evolve,,Hennepin,45.00569,-93.26934,Entire home/apt,400,2,60,2025-05-25,2.36,85,330,33,STR-407622
893320207989612110,Expansive Retreat on 5 Acres in Shakopee!,456378235,Evolve,,Scott,44.75723,-93.50902,Entire home/apt,942,2,26,2025-05-19,1.08,85,269,8,
